交易日期,淨值,市價,折溢價利率(%)
2020-01-02,69.44,69.51,0.10%
2020-01-03,69.51,69.65,0.20%
2020-01-06,70.35,70.28,-0.10%
2020-01-07,70.77,70.63,-0.20%
2020-01-08,71.26,71.05,-0.29%
2020-01-09,70.14,70.07,-0.10%
2020-01-10,69.93,70.07,0.20%
2020-01-13,69.3,69.37,0.10%
2020-01-14,68.95,69.02,0.10%
2020-01-15,69.51,69.58,0.10%
2020-01-16,69.58,69.51,-0.10%
2020-01-17,69.44,69.44,0.00%
2020-01-20,69.23,69.16,-0.10%
2020-01-30,73.36,73.36,0.00%
2020-01-31,72.8,72.8,0.00%
2020-02-03,73.71,73.43,-0.38%
2020-02-04,72.31,72.45,0.19%
2020-02-05,72.24,72.24,0.00%
2020-02-06,70.98,71.12,0.20%
2020-02-07,71.89,71.96,0.10%
2020-02-10,72.03,72.1,0.10%
2020-02-11,71.47,71.4,-0.10%
2020-02-12,70.77,70.77,0.00%
2020-02-13,70.77,70.84,0.10%
2020-02-14,70.56,70.56,0.00%
2020-02-17,70.77,70.91,0.20%
2020-02-18,71.54,71.54,0.00%
2020-02-19,70.7,70.7,0.00%
2020-02-20,70.98,70.98,0.00%
2020-02-21,71.33,71.19,-0.20%
2020-02-24,72.24,72.17,-0.10%
2020-02-25,72.03,71.96,-0.10%
2020-02-26,72.8,72.73,-0.10%
2020-02-27,73.71,73.64,-0.09%
2020-03-02,74.34,74.27,-0.09%
2020-03-03,73.43,73.57,0.19%
2020-03-04,73.15,73.43,0.38%
2020-03-05,72.31,72.45,0.19%
2020-03-06,73.71,73.64,-0.09%
2020-03-09,75.74,75.88,0.18%
2020-03-10,75.53,75.46,-0.09%
2020-03-11,76.65,76.86,0.27%
2020-03-12,79.87,80.36,0.61%
2020-03-13,82.39,82.04,-0.42%
2020-03-16,85.33,85.4,0.08%
2020-03-17,88.48,87.43,-1.19%
2020-03-18,91.14,90.3,-0.92%
2020-03-19,96.74,96.6,-0.14%
2020-03-20,88.83,89.32,0.55%
2020-03-23,92.61,92.61,0.00%
2020-03-24,87.01,87.22,0.24%
2020-03-25,83.3,84.0,0.84%
2020-03-26,82.88,83.09,0.25%
2020-03-27,83.37,83.51,0.17%
2020-03-30,83.51,83.72,0.25%
2020-03-31,83.23,83.51,0.34%
2020-04-01,83.58,83.23,-0.42%
2020-04-06,81.27,81.83,0.69%
2020-04-07,79.8,80.01,0.26%
2020-04-08,78.82,78.89,0.09%
2020-04-09,79.03,79.17,0.18%
2020-04-10,78.75,78.96,0.27%
2020-04-13,79.31,79.38,0.09%
2020-04-14,76.93,76.93,0.00%
2020-04-15,76.44,76.44,0.00%
2020-04-16,76.65,76.58,-0.09%
2020-04-17,74.62,74.83,0.28%
2020-04-20,75.25,75.18,-0.09%
2020-04-21,77.28,77.49,0.27%
2020-04-22,77.07,77.21,0.18%
