交易日期,淨值,市價,折溢價利率(%)
2020-01-02,21.85,21.77,-0.37%
2020-01-03,22.2,22.09,-0.50%
2020-01-06,22.44,22.61,0.76%
2020-01-07,22.51,22.36,-0.67%
2020-01-08,22.31,22.8,2.20%
2020-01-09,22.22,22.3,0.36%
2020-01-10,22.3,22.13,-0.76%
2020-01-13,22.16,22.22,0.27%
2020-01-14,22.07,21.97,-0.45%
2020-01-15,22.2,22.2,0.00%
2020-01-16,22.15,22.2,0.23%
2020-01-17,22.29,22.23,-0.27%
2020-01-30,22.64,22.56,-0.35%
2020-01-31,22.62,22.48,-0.62%
2020-02-03,22.54,22.58,0.18%
2020-02-04,22.15,22.48,1.49%
2020-02-05,22.25,22.23,-0.09%
2020-02-06,22.34,22.18,-0.72%
2020-02-07,22.39,22.34,-0.22%
2020-02-10,22.48,22.43,-0.22%
2020-02-11,22.34,22.36,0.09%
2020-02-12,22.36,22.32,-0.18%
2020-02-13,22.46,22.43,-0.13%
2020-02-14,22.57,22.44,-0.58%
2020-02-18,22.82,22.6,-0.96%
2020-02-19,22.93,22.83,-0.44%
2020-02-20,23.07,22.94,-0.56%
2020-02-21,23.5,23.24,-1.11%
2020-02-24,23.9,23.73,-0.71%
2020-02-25,23.51,23.6,0.38%
2020-02-26,23.41,23.44,0.13%
2020-02-27,23.39,23.53,0.60%
2020-03-02,22.69,22.88,0.84%
2020-03-03,23.38,22.8,-2.48%
2020-03-04,23.35,23.36,0.04%
2020-03-05,23.71,23.34,-1.56%
2020-03-06,23.78,23.84,0.25%
2020-03-09,23.83,23.77,-0.25%
2020-03-10,23.6,23.56,-0.17%
2020-03-11,23.36,23.66,1.28%
2020-03-12,22.62,23.24,2.74%
2020-03-13,21.57,22.46,4.13%
2020-03-16,21.13,21.93,3.79%
2020-03-17,21.7,21.36,-1.57%
2020-03-18,21.03,21.7,3.19%
2020-03-19,21.07,20.92,-0.71%
2020-03-20,21.13,21.19,0.28%
2020-03-23,22.34,21.31,-4.61%
2020-03-24,23.63,22.72,-3.85%
2020-03-25,23.22,23.5,1.21%
2020-03-26,23.58,23.07,-2.16%
2020-03-27,23.48,23.35,-0.55%
2020-03-30,23.33,23.27,-0.26%
2020-03-31,22.67,23.23,2.47%
2020-04-01,22.6,22.69,0.40%
2020-04-06,24.04,23.25,-3.29%
2020-04-07,23.88,24.25,1.55%
2020-04-08,23.89,23.94,0.21%
2020-04-09,24.86,23.88,-3.94%
2020-04-13,24.97,24.6,-1.48%
2020-04-14,25.07,25.06,-0.04%
2020-04-15,24.66,24.92,1.05%
2020-04-16,24.55,24.77,0.90%
2020-04-17,24.08,24.41,1.37%
2020-04-20,24.25,24.09,-0.66%
2020-04-21,23.92,24.21,1.21%
2020-04-22,24.63,24.18,-1.83%
2020-04-23,24.73,24.68,-0.20%
2020-04-24,24.59,24.75,0.65%
2020-04-27,24.42,24.7,1.15%
2020-04-28,24.39,24.24,-0.62%
2020-04-29,24.25,24.46,0.87%
2020-04-30,23.95,24.4,1.88%
2020-05-04,24.24,24.22,-0.08%
2020-05-05,24.2,24.16,-0.17%
2020-05-06,23.89,24.27,1.59%
2020-05-07,24.43,24.02,-1.68%
2020-05-08,24.25,24.43,0.74%
2020-05-11,24.02,24.18,0.67%
2020-05-12,24.13,24.18,0.21%
2020-05-13,24.27,24.18,-0.37%
2020-05-14,24.62,24.35,-1.10%
2020-05-15,24.85,24.65,-0.80%
2020-05-18,24.55,25.05,2.04%
2020-05-19,24.71,24.61,-0.40%
2020-05-20,24.82,24.83,0.04%
2020-05-21,24.41,24.68,1.11%
