交易日期,淨值,市價,折溢價利率(%)
2020-01-02,44.89,43.78,-2.47%
2020-01-03,44.09,44.14,0.11%
2020-01-06,44.48,43.74,-1.66%
2020-01-07,44.52,44.73,0.47%
2020-01-08,45.43,44.03,-3.08%
2020-01-09,46.09,45.61,-1.04%
2020-01-10,45.77,46.43,1.44%
2020-01-13,46.87,46.26,-1.30%
2020-01-14,46.6,46.99,0.84%
2020-01-15,46.55,46.42,-0.28%
2020-01-16,47.32,46.84,-1.01%
2020-01-17,47.74,47.35,-0.82%
2020-01-30,48.24,46.39,-3.83%
2020-01-31,45.97,48.46,5.42%
2020-02-03,47.17,46.98,-0.40%
2020-02-04,49.63,47.86,-3.57%
2020-02-05,49.89,49.49,-0.80%
2020-02-06,50.64,50.75,0.22%
2020-02-07,50.17,50.45,0.56%
2020-02-10,51.43,50.35,-2.10%
2020-02-11,51.37,52.1,1.42%
2020-02-12,52.43,52.0,-0.82%
2020-02-13,52.3,51.95,-0.67%
2020-02-14,52.49,52.75,0.50%
2020-02-18,52.57,51.95,-1.18%
2020-02-19,53.63,53.0,-1.17%
2020-02-20,52.5,53.45,1.81%
2020-02-21,50.71,51.95,2.45%
2020-02-24,46.74,48.97,4.77%
2020-02-25,44.27,48.23,8.95%
2020-02-26,44.28,46.48,4.97%
2020-02-27,39.59,43.19,9.09%
2020-03-02,43.46,41.2,-5.20%
2020-03-03,41.37,43.21,4.45%
2020-03-04,44.4,42.59,-4.08%
2020-03-05,41.95,43.9,4.65%
2020-03-06,40.51,40.8,0.72%
2020-03-09,35.15,36.32,3.33%
2020-03-10,38.57,38.15,-1.09%
2020-03-11,35.56,36.64,3.04%
2020-03-12,28.44,32.58,14.56%
2020-03-13,33.82,30.01,-11.27%
2020-03-16,26.59,28.61,7.60%
2020-03-17,29.35,28.76,-2.01%
2020-03-18,27.96,26.6,-4.86%
2020-03-19,28.45,26.12,-8.19%
2020-03-20,26.08,28.97,11.08%
2020-03-23,26.05,23.86,-8.41%
2020-03-24,30.25,27.78,-8.17%
2020-03-25,29.63,29.6,-0.10%
2020-03-26,32.6,29.41,-9.79%
2020-03-27,30.32,31.2,2.90%
2020-03-30,32.66,30.74,-5.88%
2020-03-31,32.08,32.57,1.53%
2020-04-01,29.19,30.99,6.17%
2020-04-06,33.94,32.02,-5.66%
2020-04-07,33.81,33.73,-0.24%
2020-04-08,35.3,34.6,-1.98%
2020-04-09,35.62,35.08,-1.52%
2020-04-13,36.47,34.55,-5.26%
2020-04-14,39.63,37.71,-4.84%
2020-04-15,38.75,39.2,1.16%
2020-04-16,40.02,38.67,-3.37%
2020-04-17,40.67,41.91,3.05%
2020-04-20,39.59,40.53,2.37%
2020-04-21,37.21,39.27,5.54%
2020-04-22,39.04,37.54,-3.84%
2020-04-23,38.69,39.0,0.80%
2020-04-24,40.21,38.07,-5.32%
2020-04-27,40.69,41.2,1.25%
2020-04-28,39.72,40.65,2.34%
2020-04-29,42.6,40.82,-4.18%
2020-04-30,42.09,43.18,2.59%
2020-05-04,40.17,38.95,-3.04%
2020-05-05,41.35,40.72,-1.52%
2020-05-06,41.61,41.71,0.24%
2020-05-07,43.06,42.19,-2.02%
2020-05-08,44.07,44.0,-0.16%
2020-05-11,44.64,44.39,-0.56%
2020-05-12,42.71,44.68,4.61%
2020-05-13,41.9,43.01,2.65%
2020-05-14,42.7,41.88,-1.92%
2020-05-15,42.86,42.82,-0.09%
2020-05-18,45.02,43.63,-3.09%
2020-05-19,44.78,45.03,0.56%
2020-05-20,46.56,45.29,-2.73%
2020-05-21,45.29,46.15,1.90%
