交易日期,淨值,市價,折溢價利率(%)
2020-01-02,21.94,22.07,0.59%
2020-01-03,22.01,22.13,0.55%
2020-01-06,22.01,22.24,1.04%
2020-01-07,22.0,22.19,0.86%
2020-01-08,21.99,22.24,1.14%
2020-01-09,21.96,22.16,0.91%
2020-01-10,21.99,22.11,0.55%
2020-01-13,21.94,22.13,0.87%
2020-01-14,21.96,22.1,0.64%
2020-01-15,22.03,22.13,0.45%
2020-01-16,22.08,22.27,0.86%
2020-01-17,22.04,22.25,0.95%
2020-01-30,22.75,22.41,-1.49%
2020-01-31,22.81,22.74,-0.31%
2020-02-03,22.86,22.85,-0.04%
2020-02-04,22.65,22.83,0.79%
2020-02-05,22.57,22.71,0.62%
2020-02-06,22.59,22.6,0.04%
2020-02-07,22.74,22.72,-0.09%
2020-02-10,22.79,22.79,0.00%
2020-02-11,22.76,22.78,0.09%
2020-02-12,22.71,22.76,0.22%
2020-02-13,22.78,22.76,-0.09%
2020-02-14,22.85,22.81,-0.18%
2020-02-18,23.03,22.95,-0.35%
2020-02-19,23.07,23.09,0.09%
2020-02-20,23.27,23.17,-0.43%
2020-02-21,23.55,23.33,-0.93%
2020-02-24,23.69,23.61,-0.34%
2020-02-25,23.56,23.58,0.08%
2020-02-26,23.47,23.5,0.13%
2020-02-27,23.16,23.38,0.95%
2020-03-02,22.99,23.11,0.52%
2020-03-03,23.11,22.91,-0.87%
2020-03-04,23.39,23.04,-1.50%
2020-03-05,23.35,23.37,0.09%
2020-03-06,23.65,23.46,-0.80%
2020-03-09,22.72,23.74,4.49%
2020-03-10,22.48,22.59,0.49%
2020-03-11,22.11,22.56,2.04%
2020-03-12,20.94,21.88,4.49%
2020-03-13,20.86,20.86,0.00%
2020-03-16,20.36,20.6,1.18%
2020-03-17,19.83,20.1,1.36%
2020-03-18,18.44,19.42,5.31%
2020-03-19,17.82,18.2,2.13%
2020-03-20,18.34,17.83,-2.78%
2020-03-23,18.23,18.0,-1.26%
2020-03-24,18.66,17.97,-3.70%
2020-03-25,19.41,18.21,-6.18%
2020-03-26,20.01,19.52,-2.45%
2020-03-27,19.96,19.8,-0.80%
2020-03-30,19.78,19.58,-1.01%
2020-03-31,19.95,19.32,-3.16%
2020-04-01,19.82,19.53,-1.46%
2020-04-06,19.75,19.65,-0.51%
2020-04-07,19.71,19.55,-0.81%
2020-04-08,19.6,19.57,-0.15%
2020-04-09,19.96,19.47,-2.45%
2020-04-13,20.07,20.19,0.60%
2020-04-14,20.23,20.24,0.05%
2020-04-15,20.15,20.39,1.19%
2020-04-16,20.19,20.3,0.54%
2020-04-17,20.18,20.3,0.59%
2020-04-20,20.17,20.24,0.35%
2020-04-21,20.01,20.26,1.25%
2020-04-22,19.94,20.12,0.90%
2020-04-23,20.04,20.07,0.15%
2020-04-24,20.03,20.1,0.35%
2020-04-27,19.93,20.07,0.70%
2020-04-28,19.95,19.99,0.20%
2020-04-29,20.0,19.94,-0.30%
2020-04-30,20.12,20.17,0.25%
2020-05-04,20.19,20.3,0.54%
2020-05-05,20.32,20.34,0.10%
2020-05-06,20.36,20.48,0.59%
2020-05-07,20.51,20.5,-0.05%
2020-05-08,20.48,20.61,0.63%
2020-05-11,20.52,20.6,0.39%
2020-05-12,20.63,20.62,-0.05%
2020-05-13,20.56,20.76,0.97%
2020-05-14,20.52,20.65,0.63%
2020-05-15,20.63,20.62,-0.05%
2020-05-18,20.85,20.84,-0.05%
2020-05-19,21.0,21.05,0.24%
2020-05-20,21.33,21.16,-0.80%
2020-05-21,21.51,21.39,-0.56%
2020-05-22,21.54,21.63,0.42%
2020-05-26,21.68,21.67,-0.05%
2020-05-27,21.74,21.73,-0.05%
2020-05-28,21.75,21.76,0.05%
2020-05-29,21.81,21.83,0.09%
2020-06-01,21.72,21.86,0.64%
2020-06-02,21.85,21.82,-0.14%
2020-06-03,21.91,21.82,-0.41%
2020-06-04,21.83,21.94,0.50%
2020-06-05,21.76,21.86,0.46%
2020-06-08,21.79,21.82,0.14%
2020-06-09,21.88,21.88,0.00%
2020-06-10,21.85,21.85,0.00%
2020-06-11,21.79,21.89,0.46%
2020-06-12,21.65,21.8,0.69%
2020-06-15,21.6,21.71,0.51%
2020-06-16,21.81,21.71,-0.46%
2020-06-17,21.56,21.66,0.46%
2020-06-18,21.61,21.71,0.46%
2020-06-19,21.69,21.73,0.18%
2020-06-22,21.71,21.83,0.55%
2020-06-23,21.73,21.78,0.23%
2020-06-24,21.7,21.8,0.46%
2020-06-29,21.68,21.83,0.69%
2020-06-30,21.77,21.77,0.00%
