交易日期,淨值,市價,折溢價利率(%)
2020-01-02,32.11,32.26,0.47%
2020-01-03,32.08,32.18,0.31%
2020-01-06,31.78,31.99,0.66%
2020-01-07,31.74,31.84,0.32%
2020-01-08,31.5,31.72,0.70%
2020-01-09,31.74,31.88,0.44%
2020-01-10,31.79,31.88,0.28%
2020-01-13,32.1,32.16,0.19%
2020-01-14,32.22,32.18,-0.12%
2020-01-15,32.17,32.23,0.19%
2020-01-16,32.29,32.25,-0.12%
2020-01-17,32.45,32.33,-0.37%
2020-01-20,32.53,32.52,-0.03%
2020-01-30,31.01,31.3,0.94%
2020-01-31,31.23,31.45,0.70%
2020-02-03,31.0,31.2,0.65%
2020-02-04,31.2,31.42,0.71%
2020-02-05,31.29,31.49,0.64%
2020-02-06,31.71,31.7,-0.03%
2020-02-07,31.45,31.62,0.54%
2020-02-10,31.34,31.4,0.19%
2020-02-11,31.51,31.62,0.35%
2020-02-12,31.61,31.77,0.51%
2020-02-13,31.7,31.84,0.44%
2020-02-14,31.8,31.88,0.25%
2020-02-17,31.8,31.89,0.28%
2020-02-18,31.85,31.93,0.25%
2020-02-19,32.03,32.13,0.31%
2020-02-20,32.03,32.13,0.31%
2020-02-21,31.88,32.02,0.44%
2020-02-24,31.54,31.74,0.63%
2020-02-25,31.42,31.58,0.51%
2020-02-26,31.31,31.49,0.57%
2020-02-27,31.07,31.21,0.45%
2020-03-02,30.69,30.78,0.29%
2020-03-03,30.98,31.05,0.23%
2020-03-04,31.07,31.05,-0.06%
2020-03-05,31.36,31.32,-0.13%
2020-03-06,30.98,31.0,0.06%
2020-03-09,30.15,30.35,0.66%
2020-03-10,30.11,30.25,0.46%
2020-03-11,30.04,30.04,0.00%
2020-03-12,29.02,29.19,0.59%
2020-03-13,28.18,28.23,0.18%
2020-03-16,27.34,27.5,0.59%
2020-03-17,26.56,26.62,0.23%
2020-03-18,26.09,26.0,-0.34%
2020-03-19,24.39,24.13,-1.07%
2020-03-20,25.61,25.4,-0.82%
2020-03-23,24.82,24.85,0.12%
2020-03-24,25.68,25.8,0.47%
2020-03-25,26.73,26.76,0.11%
2020-03-26,26.89,26.92,0.11%
2020-03-27,27.24,27.13,-0.40%
2020-03-30,27.21,27.2,-0.04%
2020-03-31,27.46,27.4,-0.22%
2020-04-01,27.43,27.51,0.29%
2020-04-06,27.75,27.7,-0.18%
2020-04-07,28.01,28.1,0.32%
2020-04-08,28.33,28.38,0.18%
2020-04-09,28.44,28.4,-0.14%
2020-04-10,28.7,28.67,-0.10%
2020-04-13,28.58,28.6,0.07%
2020-04-14,29.13,29.05,-0.27%
2020-04-15,29.55,29.5,-0.17%
2020-04-16,29.35,29.36,0.03%
2020-04-17,29.39,29.47,0.27%
2020-04-20,29.46,29.5,0.14%
2020-04-21,28.79,28.83,0.14%
2020-04-22,28.8,28.73,-0.24%
2020-04-23,28.98,28.83,-0.52%
2020-04-24,29.02,28.98,-0.14%
2020-04-27,29.55,29.52,-0.10%
2020-04-28,29.82,29.75,-0.23%
2020-04-29,30.17,30.05,-0.40%
